material_id,pretty_formula,formation_energy_per_atom,num_elements,elements,crystal_system,space_group_symbol,nsites,composition,num_halogens,num_unique_halogen_types
mp-1113330,CsRb2YBr6,-2.096308063465517,4,"[Element Br, Element Cs, Element Rb, Element Y]",Cubic,Fm-3m,10,Cs1 Rb2 Y1 Br6,6.0,1
mp-1113327,CsRb2YCl6,-2.418319629465517,4,"[Element Cl, Element Cs, Element Rb, Element Y]",Cubic,Fm-3m,10,Cs1 Rb2 Y1 Cl6,6.0,1
mp-1113328,CsRb2YF6,-3.480309745465517,4,"[Element Cs, Element F, Element Rb, Element Y]",Cubic,Fm-3m,10,Cs1 Rb2 Y1 F6,6.0,1
mp-1206806,CrAg3F6,-1.861633889499999,3,"[Element Ag, Element Cr, Element F]",Cubic,Fm-3m,10,Cr1 Ag3 F6,6.0,1
mp-1113578,Cs2AgAsBr6,-1.322267520847702,4,"[Element Ag, Element As, Element Br, Element Cs]",Cubic,Fm-3m,10,Cs2 Ag1 As1 Br6,6.0,1
mp-1113543,Cs2AgAsCl6,-1.5611243658477,4,"[Element Ag, Element As, Element Cl, Element Cs]",Cubic,Fm-3m,10,Cs2 Ag1 As1 Cl6,6.0,1
mp-1114305,Cs2AgAsF6,-2.433482206847701,4,"[Element Ag, Element As, Element Cs, Element F]",Cubic,Fm-3m,10,Cs2 Ag1 As1 F6,6.0,1
mp-1113575,Cs2AgAuBr6,-1.203201411097701,4,"[Element Ag, Element Au, Element Br, Element Cs]",Cubic,Fm-3m,10,Cs2 Ag1 Au1 Br6,6.0,1
mp-568448,Cs2AgAuCl6,-1.393409239097701,4,"[Element Ag, Element Au, Element Cl, Element Cs]",Cubic,Fm-3m,10,Cs2 Ag1 Au1 Cl6,6.0,1
mp-1113576,Cs2AgAuF6,-1.948868648333331,4,"[Element Ag, Element Au, Element Cs, Element F]",Cubic,Fm-3m,10,Cs2 Ag1 Au1 F6,6.0,1
mp-1078250,Cs2AgBiBr6,-1.456030710097701,4,"[Element Ag, Element Bi, Element Br, Element Cs]",Cubic,Fm-3m,10,Cs2 Ag1 Bi1 Br6,6.0,1
mp-1120775,Cs2AgBiBr6,-0.30408306009770103,4,"[Element Ag, Element Bi, Element Br, Element Cs]",Cubic,Fm-3m,10,Cs2 Ag1 Bi1 Br6,6.0,1
mp-1078258,Cs2AgBiCl6,-1.510083130500001,4,"[Element Ag, Element Bi, Element Cl, Element Cs]",Cubic,Fm-3m,10,Cs2 Ag1 Bi1 Cl6,6.0,1
mp-1114309,Cs2AgBiF6,-2.471992757000001,4,"[Element Ag, Element Bi, Element Cs, Element F]",Cubic,Fm-3m,10,Cs2 Ag1 Bi1 F6,6.0,1
mp-1113264,Cs2AgBiI6,-1.086875971097701,4,"[Element Ag, Element Bi, Element Cs, Element I]",Cubic,Fm-3m,10,Cs2 Ag1 Bi1 I6,6.0,1
mp-1113622,Cs2AgIrF6,-2.091066187666678,4,"[Element Ag, Element Cs, Element F, Element Ir]",Cubic,Fm-3m,10,Cs2 Ag1 Ir1 F6,6.0,1
mp-1113243,Cs2AgMoBr6,-1.330556895097701,4,"[Element Ag, Element Br, Element Cs, Element Mo]",Cubic,Fm-3m,10,Cs2 Ag1 Mo1 Br6,6.0,1
mp-1113232,Cs2AgMoCl6,-1.454606304166665,4,"[Element Ag, Element Cl, Element Cs, Element Mo]",Cubic,Fm-3m,10,Cs2 Ag1 Mo1 Cl6,6.0,1
mp-1113226,Cs2AgMoF6,-2.602620705097701,4,"[Element Ag, Element Cs, Element F, Element Mo]",Cubic,Fm-3m,10,Cs2 Ag1 Mo1 F6,6.0,1
